Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>"
1921938875,"Sep 14, 2018, 4:40:22 AM",Night Run,Run,,3325,7.25,156.0,34,false,,activities/2057152232.fit.gz,86.18250274658203,,3325.0,3325.0,7255.0,3.5,,97.57818603515625,,92.5,148.6999969482422,10.300000190734863,0.011026877909898758,,,77.0,72.53008270263672,156.0,139.28158569335938,,,529.0,,13.0,34.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938915,"Sep 12, 2018, 1:36:13 AM",Evening Run,Run,,3340,7.21,163.0,35,false,,activities/2057152278.fit.gz,86.18250274658203,,3340.0,3340.0,7216.10009765625,3.200000047683716,,97.40059661865234,,92.5,148.6999969482422,10.399999618530273,0.005543160252273083,,,77.0,74.84306335449219,163.0,138.34022521972656,,,506.0,,14.0,35.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938955,"Sep 2, 2018, 3:40:33 AM",Evening Activity,Workout,,3541,0,131.0,13,false,,activities/2057152340.fit.gz,,,3541.0,3541.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,131.0,121.18356323242188,,,643.0,,16.0,13.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938974,"Sep 8, 2018, 12:24:12 AM",Afternoon Run,Run,,6233,9.15,167.0,69,false,,activities/2057152315.fit.gz,86.18250274658203,,6233.0,5920.0,9150.900390625,5.599999904632568,,608.2025146484375,,162.0,768.7000122070312,50.0,-0.01311346422880888,,,77.0,54.7589225769043,167.0,141.38307189941406,,,964.0,,20.0,69.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938987,"Sep 6, 2018, 12:31:46 AM",Afternoon Run,Run,,3520,9.42,171.0,50,false,,activities/2057152334.fit.gz,86.18250274658203,,3520.0,3520.0,9421.900390625,5.099999904632568,,16.279579162597656,,49.70000076293945,55.0,5.900000095367432,-0.023349855095148087,,,78.0,72.8525161743164,171.0,143.37681579589844,,,614.0,,24.0,50.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938992,"Aug 30, 2018, 1:04:24 AM",Evening Run,Run,,1797,4.98,161.0,35,false,,activities/2057152361.fit.gz,86.18250274658203,,1797.0,1751.0,4985.39990234375,4.199999809265137,,32.332298278808594,,9.0,40.0,10.0,0.006017571315169334,,,78.0,69.97200012207031,161.0,146.04171752929688,,,349.0,,22.0,35.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921938995,"Sep 7, 2018, 2:03:22 AM",Evening Run,Run,,8522,10.65,167.0,40,false,,activities/2057152318.fit.gz,86.18250274658203,,8522.0,6603.0,10657.5,3.700000047683716,,66.82093048095703,,5.800000190734863,32.20000076293945,22.0,0.0018766126595437527,,,76.0,53.6917839050293,167.0,120.54654693603516,,,608.0,,25.0,40.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921939022,"Aug 26, 2018, 2:20:47 AM",Evening Run,Run,,1908,3.84,149.0,16,false,,activities/2057152394.fit.gz,86.18250274658203,,1908.0,1892.0,3842.39990234375,2.700000047683716,,31.271181106567383,,92.5,111.9000015258789,9.399999618530273,0.026025401428341866,,,75.0,70.87625885009766,149.0,137.5452117919922,,,261.0,,17.0,16.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921939025,"Aug 22, 2018, 4:06:20 AM",Night Activity,Workout,,3580,0,143.0,15,false,,activities/2057152426.fit.gz,,,3580.0,3580.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,143.0,121.15670013427734,,,653.0,,21.0,15.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921939027,"Aug 28, 2018, 4:12:29 AM",Night Run,Run,,3764,8.56,164.0,48,false,,activities/2057152383.fit.gz,86.18250274658203,,3764.0,3757.0,8567.0,3.5,,119.62527465820312,,92.5,147.10000610351562,17.5,0.011672697961330414,,,75.0,72.14753723144531,164.0,141.97869873046875,,,625.0,,17.0,48.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
