Activity Date,Elapsed Time,Distance,Max Heart Rate,Elapsed Time,Moving Time,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Max Cadence,Average Cadence,Average Heart Rate,Average Watts,Calories,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>"
"Aug 9, 2018, 2:05:50 AM",3197,7.51,149,3197,3188,3.099999905,,12.41420269,,9.899999619,15.10000038,4.900000095,0,,78,73.35321808,139.5485077,,490,31,30,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 14, 2018, 1:17:50 AM",9635,21.29,160,9635,9555,3.299999952,,168.540741,,7.699999809,148.6999969,21,-0.482386082,,77,73.91512299,140.7879639,,1494,24,105,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 8, 2018, 2:34:39 AM",3747,8.44,166,3747,3720,3.099999905,,131.510788,,92.5,152.8999939,13.89999962,0.004738944,,78,72.52124023,138.5352173,,601,28,36,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 7, 2018, 3:02:48 AM",3279,7.18,158,3279,3279,2.799999952,,97.45859528,,92.5,148.6999969,10.30000019,0.016696582,,78,73.1829834,138.6852722,,511,23,32,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 2, 2018, 4:22:03 AM",4161,0,123,4161,4161,0,,0,,,,0,0,,,,111.8178329,,656,19,13,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 6, 2018, 2:56:29 AM",3140,7.18,162,3140,3140,3.299999952,,97.46974945,,92.5,148.6999969,10.39999962,0.022277918,,77,73.0627594,139.3781433,,514,24,32,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 1, 2018, 4:40:39 AM",3572,0,129,3572,3572,0,,0,,,,0,0,,,,118.1290588,,621,20,12,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 4, 2018, 11:15:02 PM",1355,3.24,147,1355,1335,3.299999952,,22.99988747,,80.40000153,95.19999695,10,-0.194426447,,76,70.80734253,137.7781067,,262,26,11,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sep 9, 2018, 1:06:24 AM",21943,41.48,176,21943,21774,3.700000048,,447.4454651,,6.5,129.3999939,49.09999847,0,,81,72.54071808,138.3595581,,2817,21,227,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aug 4, 2018, 12:23:01 AM",3784,8.8,162,3784,3722,3.299999952,,114.3603668,,6.300000191,83.69999695,18.20000076,0.004543389,,76,73.24596405,143.9394531,,632,24,57,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 30, 2018, 8:11:20 PM",2609,6.5,167,2609,2609,3.599999905,,4.913571358,,47.79999924,51.70000076,13.10000038,0.003075646,,74,70.64173126,150.7410889,,430,28,62,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 28, 2018, 4:29:40 PM",3235,7.24,170,3235,3235,2.900000095,,97.53166962,,92.5,148.6999969,10.89999962,0.009656638,,77,71.28178406,139.4336548,,525,19,35,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 27, 2018, 2:33:12 AM",3071,7.19,163,3071,3071,3.400000095,,97.46108246,,92.5,148.6999969,11.10000038,0.022240756,,82,73.82318115,139.943985,,520,31,32,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 26, 2018, 2:33:15 AM",3322,7.29,161,3322,3300,3.5,,97.54082489,,92.5,148.6999969,10.30000019,0.015074688,,76,71.09272766,138.2072754,,530,30,28,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 24, 2018, 2:39:16 AM",3101,7.14,154,3101,3101,3.599999905,,97.39733124,,92.5,148.6999969,10.30000019,0.005598947,,80,74.85875702,139.4350281,,516,28,31,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 23, 2018, 2:08:50 AM",3190,7.24,162,3190,3190,2.900000095,,97.47731018,,92.5,148.6999969,10.5,0.012423732,,77,74.50517273,142.952652,,516,29,44,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 20, 2018, 6:11:25 PM",2825,7.28,160,2825,2825,4,,90.30722046,,5.400000095,38.79999924,35.20000076,-0.294973105,,80,73.57415771,145.9090271,,511,26,53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 19, 2018, 7:26:07 PM",2752,6.87,156,2752,2752,3.5,,107.7566071,,5.400000095,38.79999924,35.29999924,0.015996045,,83,72.233284,142.2089386,,465,26,36,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 18, 2018, 4:47:24 PM",2753,7.05,158,2753,2747,3.299999952,,110.5591736,,5.400000095,38.79999924,36.40000153,0.00425363,,79,74.61566162,146.3985443,,485,,53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 17, 2018, 6:30:59 PM",2863,6.66,166,2863,2837,2.900000095,,90.35186005,,5.400000095,38.79999924,28.39999962,0.025497194,,76,73.2783432,145.8894348,,466,,49,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 16, 2018, 6:27:53 PM",3123,7.77,164,3123,3095,3.400000095,,132.9022217,,5.400000095,38.79999924,36.5,0,,78,72.60103607,146.5651398,,541,,57,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 14, 2018, 6:43:57 PM",2736,7.02,168,2736,2731,3.799999952,,120.0426331,,5.400000095,38.79999924,38.5,0.019927407,,76,71.6056366,154.5964813,,485,,75,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 6, 2018, 3:48:10 AM",1447,0,125,1447,1447,0,,0,,,,0,0,,,,108.8693848,,234,21,4,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 11, 2018, 2:48:47 AM",2902,7.24,166,2902,2902,3.200000048,,97.47323608,,92.5,148.6999969,10.39999962,0.009656638,,77,71.11064911,146.9507141,,528,21,53,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jul 8, 2018, 10:55:02 PM",3144,7.25,171,3144,3144,2.900000095,,97.44976807,,92.5,148.6999969,12,0.00964772,,76,69.56329346,143.2576294,,520,26,43,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
